,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,wf_zipcode,state_x,county_x,latitude_x,longitude_x,windmills_count_x,pop_density_x,med_household_income_x,zipcode_withno_wf_x,distance_from_wfzipcode_x,Unnamed: 0.1_x,ZipCode_x,StateName_x,2009-01_x,2010-01_x,2011-01_x,2012-01_x,2013-01_x,2014-01_x,2015-01_x,2016-01_x,2017-01_x,2018-01_x,percent_2010_change_x,percent_2011_change_x,percent_2012_change_x,percent_2013_change_x,percent_2014_change_x,percent_2015_change_x,percent_2016_change_x,percent_2017_change_x,percent_2018_change_x,Unnamed: 0_y,state_y,county_y,latitude_y,longitude_y,windmills_count_y,pop_density_y,med_household_income_y,zipcode_withno_wf_y,distance_from_wfzipcode_y,Unnamed: 0.1_y,ZipCode_y,StateName_y,2009-01_y,2010-01_y,2011-01_y,2012-01_y,2013-01_y,2014-01_y,2015-01_y,2016-01_y,2017-01_y,2018-01_y,percent_2010_change_y,percent_2011_change_y,percent_2012_change_y,percent_2013_change_y,percent_2014_change_y,percent_2015_change_y,percent_2016_change_y,percent_2017_change_y,percent_2018_change_y
0,0,0,0,1507,MA,Worcester County,42.110889,-72.003899,1,308,93963,0,0,3636,1507,Massachusetts,296200,296200,296200,296200,296200,296200,296200,271600,272400,276000,0,0,0,0,0,0,-0.083051992,0.002945508,0.013215859,0,MA,Worcester County,42.15,-71.52,0,1886,66547,1757,25.00678785,2047,1757,Massachusetts,211000,211000,211000,211000,238300,258900,264300,271000,286800,290300,0,0,0,0.129383886,0.086445657,0.020857474,0.025349981,0.058302583,0.012203626
1,1,1,1,1930,MA,Essex County,42.628193,-70.649399,1,1099,61449,0,0,1407,1930,Massachusetts,351800,351800,351800,351800,350700,348300,345700,342100,362900,378900,0,0,0,-0.003126777,-0.006843456,-0.007464829,-0.010413653,0.060800935,0.044089281,1,MA,Suffolk County,42.4,-71.03,0,15907,47291,2150,25.01626565,1584,2150,Massachusetts,216900,216900,216900,216900,216900,216900,241200,261700,317400,341500,0,0,0,0,0,0.112033195,0.084991708,0.212839129,0.075929427
2,2,2,3,2066,MA,Plymouth County,42.175091,-70.7285,1,1043,100833,0,0,3112,2066,Massachusetts,437500,421300,428600,421400,430400,430700,440400,476800,496700,498700,-0.037028571,0.01732732,-0.01679888,0.02135738,0.000697026,0.022521477,0.082652134,0.041736577,0.004026575,2,MA,Essex County,42.47,-71.01,0,2468,76339,1906,24.94437237,2273,1906,Massachusetts,239500,239500,239500,280100,291700,323500,322400,337600,366900,404600,0,0,0.169519833,0.041413781,0.109016112,-0.003400309,0.047146402,0.0867891,0.102752794
3,3,3,4,2122,MA,Suffolk County,42.304691,-71.0541,1,11554,50192,0,0,2785,2122,Massachusetts,314800,314800,314800,314800,314800,314800,314800,314800,395800,385000,0,0,0,0,0,0,0,0.257306226,-0.027286508,3,MA,Plymouth County,42.05,-70.71,0,634,118272,2332,24.92137872,3537,2332,Massachusetts,492100,492100,492100,492100,492100,492100,492100,585900,585100,617600,0,0,0,0,0,0,0.190611664,-0.001365421,0.055546061
4,4,4,9,2360,MA,Plymouth County,41.925491,-70.644302,1,589,76565,0,0,169,2360,Massachusetts,255200,282000,279700,242500,244200,283700,319100,326100,318900,346400,0.105015674,-0.008156028,-0.132999642,0.007010309,0.161752662,0.124779697,0.021936697,-0.022079117,0.086233929,4,MA,Bristol County,41.64,-70.94,0,7579,34259,2740,24.93040402,918,2740,Massachusetts,126200,126200,126200,126200,125200,151400,159700,151200,210000,183500,0,0,0,-0.00792393,0.209265176,0.054821664,-0.053224796,0.388888889,-0.126190476
5,5,5,21,55068,MN,Dakota County,44.728298,-93.048073,1,642,85602,0,0,2229,55068,Minnesota,178200,178200,178200,190400,192400,204100,230500,225600,226300,250500,0,0,0.068462402,0.010504202,0.060810811,0.129348359,-0.021258134,0.003102837,0.106937693,5,MN,Hennepin County,44.92,-93.48,0,1859,89936,55345,25.01545625,2743,55345,Minnesota,310500,310500,310500,310500,310500,310500,310600,313000,336000,376400,0,0,0,0,0,0.000322061,0.00772698,0.073482428,0.120238095
6,6,6,22,55109,MN,Ramsey County,45.011433,-92.998383,1,2686,51782,0,0,1499,55109,Minnesota,185100,173000,157900,152400,141100,174900,194300,183500,204900,213400,-0.06537007,-0.087283237,-0.034832172,-0.074146982,0.239546421,0.110920526,-0.055584148,0.116621253,0.041483651,6,MN,Anoka County,45.3,-93.3,0,665,91222,55304,24.7845907,946,55304,Minnesota,272200,272200,272200,272200,272200,272200,272200,248600,263900,266000,0,0,0,0,0,0,-0.086700955,0.06154465,0.00795756
7,7,7,23,55316,MN,Anoka County,45.22728,-93.38369,1,2827,84768,0,0,2757,55316,Minnesota,188800,188800,188800,188800,188800,188800,185200,197100,226600,241400,0,0,0,0,0,-0.019067797,0.06425486,0.149670218,0.065313327,7,MN,Hennepin County,44.9,-93.6,0,1172,108911,55331,24.95663956,3120,55331,Minnesota,383400,383400,383400,383400,383400,383000,420000,490700,521700,480100,0,0,0,0,-0.001043297,0.096605744,0.168333333,0.063175056,-0.079739314
8,8,8,25,55369,MN,Hennepin County,45.09507,-93.435242,1,1357,78965,0,0,1174,55369,Minnesota,207800,207800,207800,207800,207800,207800,193200,224700,220100,247100,0,0,0,0,0,-0.070259865,0.163043478,-0.02047174,0.122671513,8,MN,Dakota County,44.8,-93.14,0,2369,103829,55123,24.99552772,2515,55123,Minnesota,217500,217500,217500,240000,291900,266800,283400,290600,300900,305700,0,0,0.103448276,0.21625,-0.085988352,0.062218891,0.025405787,0.035443909,0.015952144
9,9,9,26,55379,MN,Scott County,44.736092,-93.482994,1,686,79592,0,0,965,55379,Minnesota,198700,198700,198700,198700,179900,196900,230400,205600,234100,230400,0,0,0,-0.094614997,0.094496943,0.170137125,-0.107638889,0.138618677,-0.015805211,9,MN,Ramsey County,45.01,-93.16,0,2613,61113,55113,24.68318076,573,55113,Minnesota,225900,196400,175500,167100,198400,215000,219800,220400,235300,237100,-0.130588756,-0.106415479,-0.047863248,0.187312986,0.083669355,0.022325581,0.002729754,0.067604356,0.007649809
10,10,10,27,91739,CA,San Bernardino County,34.084896,-117.52639,1,1184,103203,0,0,1858,91739,California,419400,415600,415800,364400,416300,515800,491200,550000,624700,642000,-0.009060563,0.000481232,-0.123617124,0.142425906,0.239010329,-0.047692904,0.11970684,0.135818182,0.027693293,10,CA,Orange County,33.81,-117.81,0,5608,79650,92867,24.98731748,1523,92867,California,437500,497400,503800,437200,511800,606500,623000,621300,677900,713100,0.136914286,0.012866908,-0.132195316,0.17063129,0.185033216,0.027205276,-0.002728732,0.091099308,0.051925063
11,11,11,28,92220,CA,Riverside County,33.917194,-116.815086,2,255,39291,0,0,1750,92220,California,115600,115600,118700,118000,146600,160400,178600,207900,225900,249300,0,0.026816609,-0.00589722,0.242372881,0.094133697,0.113466334,0.164053751,0.086580087,0.103585657,11,CA,Riverside County,33.92,-117.25,0,7277,42825,92553,24.99086413,443,92553,California,115400,127100,131700,128500,147900,199100,220700,241600,257800,281600,0.101386482,0.036191975,-0.024297646,0.150972763,0.346179851,0.108488197,0.094698686,0.06705298,0.092319628
12,12,12,30,92240,CA,Riverside County,33.919495,-116.573288,33,949,33682,0,0,1436,92240,California,118300,118300,118300,118300,118300,130100,147600,157100,181700,205100,0,0,0,0,0.099746407,0.134511914,0.064363144,0.15658816,0.128783709,12,CA,Riverside County,33.7,-116.23,0,2729,41335,92201,24.87833363,412,92201,California,150500,155300,140500,140200,167300,204200,215600,244500,261900,274800,0.031893688,-0.09529942,-0.002135231,0.193295292,0.220561865,0.05582762,0.134044527,0.071165644,0.049255441
13,13,13,31,92262,CA,Riverside County,33.889694,-116.57679,145,714,46515,0,0,1226,92262,California,209100,209100,209100,209100,258900,307800,320000,362100,361100,368600,0,0,0,0.238163558,0.188876014,0.039636127,0.1315625,-0.002761668,0.02076987,13,CA,Riverside County,33.9,-117,0,1005,65692,92223,24.33471999,550,92223,California,220600,203800,180800,171100,191500,239400,247200,269900,291100,316300,-0.076155938,-0.112855741,-0.053650442,0.119228521,0.250130548,0.032581454,0.091828479,0.07854761,0.08656819
14,14,14,35,92395,CA,San Bernardino County,34.557693,-117.358292,1,2479,38084,0,0,1100,92395,California,101600,111300,102100,103200,125300,153600,167700,199600,206700,234000,0.095472441,-0.082659479,0.010773751,0.214147287,0.225857941,0.091796875,0.190220632,0.035571142,0.132075472,14,CA,San Bernardino County,34.2,-117.4,0,901,51471,92407,24.77009797,645,92407,California,124300,124300,146100,128300,173900,211000,242400,253300,287800,334600,0,0.17538214,-0.12183436,0.355416991,0.213341001,0.148815166,0.044966997,0.136202132,0.162612926
15,15,15,36,93534,CA,Los Angeles County,34.691982,-118.221596,1,2215,35892,0,0,1077,93534,California,78800,91700,95400,92600,114200,134500,144100,155900,196600,229400,0.163705584,0.040348964,-0.029350105,0.233261339,0.177758319,0.071375465,0.081887578,0.261064785,0.166836216,15,CA,Los Angeles County,34.4,-118,0,220,56279,93543,23.76570613,3715,93543,California,149200,112700,109300,103800,114400,156000,172200,181600,231500,271500,-0.24463807,-0.030168589,-0.05032022,0.102119461,0.363636364,0.103846154,0.054587689,0.274779736,0.172786177
16,16,16,39,94502,CA,Alameda County,37.732441,-122.25177,6,5074,105616,0,0,3573,94502,California,450300,450300,450300,450300,551400,601300,610300,910300,858000,918700,0,0,0,0.224516989,0.090496917,0.01496757,0.491561527,-0.057453587,0.070745921,16,CA,Alameda County,37.52,-121.9,0,1968,143949,94539,24.22741222,866,94539,California,812600,857500,825400,772200,932300,972500,1201400,1308100,1331400,1481800,0.055254738,-0.037434402,-0.064453598,0.207329707,0.043119168,0.235372751,0.088813051,0.017812094,0.112963798
17,17,17,40,94551,CA,Contra Costa County,37.802994,-121.653885,38,467,95716,0,0,1155,94551,California,350800,381100,341400,330300,397800,506500,553500,598000,634400,718200,0.086374002,-0.104172133,-0.032513181,0.204359673,0.273252891,0.092793682,0.080397471,0.060869565,0.132093317,17,CA,San Joaquin County,38.03,-121.3,0,5892,40182,95210,24.87951056,1920,95210,California,92100,99300,101800,109900,104600,142300,158200,185600,212800,257400,0.078175896,0.025176234,0.07956778,-0.04822566,0.36042065,0.11173577,0.173198483,0.146551724,0.209586466
18,18,18,43,95377,CA,Alameda County,37.699894,-121.597389,1400,286,98072,0,0,2767,95377,California,248500,275500,267300,269000,306600,393800,402800,432700,461100,508000,0.108651911,-0.029764065,0.006359895,0.139776952,0.284409654,0.022854241,0.074230387,0.065634389,0.101713294,18,CA,San Joaquin County,38.03,-121.42,0,490,73911,95219,24.74674446,2183,95219,California,203100,203100,203100,203100,193000,280000,303700,325200,341700,381900,0,0,0,-0.049729197,0.450777202,0.084642857,0.070793546,0.050738007,0.117647059
