,wf_zipcode,state,county,latitude,longitude,windmills_count,pop_density,med_household_income,zipcode_withno_wf,distance_from_wfzipcode,Unnamed: 0,ZipCode,StateName,2009-01,2010-01,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,percent_2010_change,percent_2011_change,percent_2012_change,percent_2013_change,percent_2014_change,percent_2015_change,percent_2016_change,percent_2017_change,percent_2018_change
0,1507,MA,Worcester County,42.110889,-72.003899,1,308,93963,0,0,3636,1507,Massachusetts,296200,296200,296200,296200,296200,296200,296200,271600,272400,276000,0,0,0,0,0,0,-0.083051992,0.002945508,0.013215859
1,1930,MA,Essex County,42.628193,-70.649399,1,1099,61449,0,0,1407,1930,Massachusetts,351800,351800,351800,351800,350700,348300,345700,342100,362900,378900,0,0,0,-0.003126777,-0.006843456,-0.007464829,-0.010413653,0.060800935,0.044089281
2,1938,MA,Essex County,42.716091,-70.841103,1,433,77087,0,0,3378,1938,Massachusetts,346200,346200,346200,346200,348500,372800,392200,393000,467100,420000,0,0,0,0.006643559,0.069727403,0.052038627,0.002039776,0.188549618,-0.100834939
3,2066,MA,Plymouth County,42.175091,-70.7285,1,1043,100833,0,0,3112,2066,Massachusetts,437500,421300,428600,421400,430400,430700,440400,476800,496700,498700,-0.037028571,0.01732732,-0.01679888,0.02135738,0.000697026,0.022521477,0.082652134,0.041736577,0.004026575
4,2122,MA,Suffolk County,42.304691,-71.0541,1,11554,50192,0,0,2785,2122,Massachusetts,314800,314800,314800,314800,314800,314800,314800,314800,395800,385000,0,0,0,0,0,0,0,0.257306226,-0.027286508
5,2129,MA,Suffolk County,42.391491,-71.070999,1,12192,86346,0,0,2923,2129,Massachusetts,396300,414700,448900,506600,458600,599100,576400,622500,649700,731800,0.046429473,0.082469255,0.128536422,-0.094749309,0.306367205,-0.037890169,0.079979181,0.043694779,0.126366015
6,2150,MA,Suffolk County,42.39959,-71.013298,1,15907,47291,0,0,1584,2150,Massachusetts,216900,216900,216900,216900,216900,216900,241200,261700,317400,341500,0,0,0,0,0,0.112033195,0.084991708,0.212839129,0.075929427
7,2152,MA,Suffolk County,42.347092,-70.957298,2,8871,64548,0,0,3044,2152,Massachusetts,288200,288200,288200,288200,288200,288200,323500,348500,363100,405300,0,0,0,0,0,0.122484386,0.077279753,0.041893831,0.116221427
8,2155,MA,Middlesex County,42.408993,-71.099098,1,7072,73567,0,0,146,2155,Massachusetts,322200,327400,302900,297600,351000,367000,401400,450300,483900,544300,0.016139044,-0.07483201,-0.017497524,0.179435484,0.045584046,0.09373297,0.121823617,0.074616922,0.124819178
9,2360,MA,Plymouth County,41.925491,-70.644302,1,589,76565,0,0,169,2360,Massachusetts,255200,282000,279700,242500,244200,283700,319100,326100,318900,346400,0.105015674,-0.008156028,-0.132999642,0.007010309,0.161752662,0.124779697,0.021936697,-0.022079117,0.086233929
