,wf_zipcode,state,county,latitude,longitude,windmills_count,pop_density,med_household_income,zipcode_withno_wf,distance_from_wfzipcode,Unnamed: 0,ZipCode,StateName,2009-01,2010-01,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,percent_2010_change,percent_2011_change,percent_2012_change,percent_2013_change,percent_2014_change,percent_2015_change,percent_2016_change,percent_2017_change,percent_2018_change
0,1507,MA,Worcester County,42.15,-71.52,0,1886,66547,1757,25.00678785,2047,1757,Massachusetts,211000,211000,211000,211000,238300,258900,264300,271000,286800,290300,0,0,0,0.129383886,0.086445657,0.020857474,0.025349981,0.058302583,0.012203626
1,1930,MA,Suffolk County,42.4,-71.03,0,15907,47291,2150,25.01626565,1584,2150,Massachusetts,216900,216900,216900,216900,216900,216900,241200,261700,317400,341500,0,0,0,0,0,0.112033195,0.084991708,0.212839129,0.075929427
2,2066,MA,Essex County,42.47,-71.01,0,2468,76339,1906,24.94437237,2273,1906,Massachusetts,239500,239500,239500,280100,291700,323500,322400,337600,366900,404600,0,0,0.169519833,0.041413781,0.109016112,-0.003400309,0.047146402,0.0867891,0.102752794
3,2122,MA,Plymouth County,42.05,-70.71,0,634,118272,2332,24.92137872,3537,2332,Massachusetts,492100,492100,492100,492100,492100,492100,492100,585900,585100,617600,0,0,0,0,0,0,0.190611664,-0.001365421,0.055546061
4,2360,MA,Bristol County,41.64,-70.94,0,7579,34259,2740,24.93040402,918,2740,Massachusetts,126200,126200,126200,126200,125200,151400,159700,151200,210000,183500,0,0,0,-0.00792393,0.209265176,0.054821664,-0.053224796,0.388888889,-0.126190476
5,55068,MN,Hennepin County,44.92,-93.48,0,1859,89936,55345,25.01545625,2743,55345,Minnesota,310500,310500,310500,310500,310500,310500,310600,313000,336000,376400,0,0,0,0,0,0.000322061,0.00772698,0.073482428,0.120238095
6,55109,MN,Anoka County,45.3,-93.3,0,665,91222,55304,24.7845907,946,55304,Minnesota,272200,272200,272200,272200,272200,272200,272200,248600,263900,266000,0,0,0,0,0,0,-0.086700955,0.06154465,0.00795756
7,55316,MN,Hennepin County,44.9,-93.6,0,1172,108911,55331,24.95663956,3120,55331,Minnesota,383400,383400,383400,383400,383400,383000,420000,490700,521700,480100,0,0,0,0,-0.001043297,0.096605744,0.168333333,0.063175056,-0.079739314
8,55369,MN,Dakota County,44.8,-93.14,0,2369,103829,55123,24.99552772,2515,55123,Minnesota,217500,217500,217500,240000,291900,266800,283400,290600,300900,305700,0,0,0.103448276,0.21625,-0.085988352,0.062218891,0.025405787,0.035443909,0.015952144
9,55379,MN,Ramsey County,45.01,-93.16,0,2613,61113,55113,24.68318076,573,55113,Minnesota,225900,196400,175500,167100,198400,215000,219800,220400,235300,237100,-0.130588756,-0.106415479,-0.047863248,0.187312986,0.083669355,0.022325581,0.002729754,0.067604356,0.007649809
10,91739,CA,Orange County,33.81,-117.81,0,5608,79650,92867,24.98731748,1523,92867,California,437500,497400,503800,437200,511800,606500,623000,621300,677900,713100,0.136914286,0.012866908,-0.132195316,0.17063129,0.185033216,0.027205276,-0.002728732,0.091099308,0.051925063
11,92220,CA,Riverside County,33.92,-117.25,0,7277,42825,92553,24.99086413,443,92553,California,115400,127100,131700,128500,147900,199100,220700,241600,257800,281600,0.101386482,0.036191975,-0.024297646,0.150972763,0.346179851,0.108488197,0.094698686,0.06705298,0.092319628
12,92240,CA,Riverside County,33.7,-116.23,0,2729,41335,92201,24.87833363,412,92201,California,150500,155300,140500,140200,167300,204200,215600,244500,261900,274800,0.031893688,-0.09529942,-0.002135231,0.193295292,0.220561865,0.05582762,0.134044527,0.071165644,0.049255441
13,92262,CA,Riverside County,33.9,-117,0,1005,65692,92223,24.33471999,550,92223,California,220600,203800,180800,171100,191500,239400,247200,269900,291100,316300,-0.076155938,-0.112855741,-0.053650442,0.119228521,0.250130548,0.032581454,0.091828479,0.07854761,0.08656819
14,92395,CA,San Bernardino County,34.2,-117.4,0,901,51471,92407,24.77009797,645,92407,California,124300,124300,146100,128300,173900,211000,242400,253300,287800,334600,0,0.17538214,-0.12183436,0.355416991,0.213341001,0.148815166,0.044966997,0.136202132,0.162612926
15,93534,CA,Los Angeles County,34.4,-118,0,220,56279,93543,23.76570613,3715,93543,California,149200,112700,109300,103800,114400,156000,172200,181600,231500,271500,-0.24463807,-0.030168589,-0.05032022,0.102119461,0.363636364,0.103846154,0.054587689,0.274779736,0.172786177
16,94502,CA,Alameda County,37.52,-121.9,0,1968,143949,94539,24.22741222,866,94539,California,812600,857500,825400,772200,932300,972500,1201400,1308100,1331400,1481800,0.055254738,-0.037434402,-0.064453598,0.207329707,0.043119168,0.235372751,0.088813051,0.017812094,0.112963798
17,94551,CA,San Joaquin County,38.03,-121.3,0,5892,40182,95210,24.87951056,1920,95210,California,92100,99300,101800,109900,104600,142300,158200,185600,212800,257400,0.078175896,0.025176234,0.07956778,-0.04822566,0.36042065,0.11173577,0.173198483,0.146551724,0.209586466
18,95377,CA,San Joaquin County,38.03,-121.42,0,490,73911,95219,24.74674446,2183,95219,California,203100,203100,203100,203100,193000,280000,303700,325200,341700,381900,0,0,0,-0.049729197,0.450777202,0.084642857,0.070793546,0.050738007,0.117647059
19,95391,CA,Alameda County,37.4,-121.6,0,202,102413,94550,24.85755458,665,94550,California,413500,424400,438500,425800,495000,616900,651800,716500,723900,828800,0.026360339,0.033223374,-0.028962372,0.162517614,0.246262626,0.056573189,0.099263578,0.010327983,0.144909518
