,Unnamed: 0,state,county,windmills_count,longitude,latitude,zipcode,pop_density,med_household_income,ZipCode,StateName,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
0,0,MA,Worcester County,1,-72.003899,42.110889,1507,308,93963,1507,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296200.0,290300.0,284700.0,270800.0,246500.0,272600.0,271600.0,279300.0,271300.0,276600.0,265900,241800,234100,244200,268600,265200,270100,261400,272400,272600,269400,276700,287600,304300,290200,283000,283800,284300,290300,279200,276000,252000,244500.0,259900.0,287800.0,295100.0,289100.0,
1,1,MA,Essex County,1,-70.649399,42.628192999999996,1930,1099,61449,1930,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351800.0,350700.0,335000.0,299000.0,304700.0,317400.0,317800.0,323100.0,312500.0,314700.0,315900.0,305400.0,334000.0,348300.0,383400.0,376900.0,344700.0,335600.0,330700.0,361300.0,374400.0,368200.0,340300.0,334800.0,326700.0,345700.0,325200.0,320900.0,316100.0,322300.0,326200.0,341200.0,355900.0,354800.0,353900.0,332500.0,344900.0,342100.0,357500.0,344800.0,348900.0,365000,375300,376600,356400,372700,376000,390200,366100,362900,369800,379300,381200,356600,353800,339500,357800,384800,442800,417400,424000,378900,422400,383900.0,376000.0,358500.0,378500.0,397100.0,
2,2,MA,Essex County,2,-70.65720400000001,42.62669,1930,1099,61449,1930,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351800.0,350700.0,335000.0,299000.0,304700.0,317400.0,317800.0,323100.0,312500.0,314700.0,315900.0,305400.0,334000.0,348300.0,383400.0,376900.0,344700.0,335600.0,330700.0,361300.0,374400.0,368200.0,340300.0,334800.0,326700.0,345700.0,325200.0,320900.0,316100.0,322300.0,326200.0,341200.0,355900.0,354800.0,353900.0,332500.0,344900.0,342100.0,357500.0,344800.0,348900.0,365000,375300,376600,356400,372700,376000,390200,366100,362900,369800,379300,381200,356600,353800,339500,357800,384800,442800,417400,424000,378900,422400,383900.0,376000.0,358500.0,378500.0,397100.0,
4,4,MA,Essex County,1,-70.841103,42.716091,1938,433,77087,1938,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346200.0,347500.0,348500.0,330300.0,333200.0,338200.0,344200.0,362500.0,360800.0,384600.0,384700.0,393000.0,389700.0,385300.0,372800.0,340100.0,358700.0,356900.0,371700.0,366100.0,437900.0,450400.0,468800.0,418200.0,408200.0,374900.0,392200.0,434700.0,465400.0,443100.0,431000.0,413100.0,414600.0,386100.0,394500.0,378000.0,400300.0,405400.0,393000.0,393200.0,374000.0,421900.0,399900,449700,416000,422900,367900,401500,403200,458000,467100,491800,486100,486600,506100,490000,527000,504300,558900,515400,519300,443900,420000,448900,465200.0,467500.0,414700.0,417000.0,425700.0,
5,5,MA,Plymouth County,1,-70.7285,42.175090999999995,2066,1043,100833,2066,Massachusetts,477600.0,480800.0,465900.0,433200.0,430600.0,443700.0,466800.0,467100.0,464200.0,446900.0,437500.0,449500.0,411300.0,429600.0,410700.0,443100.0,430100.0,439100.0,411300.0,438100.0,441500.0,453200.0,421300.0,422300.0,432800.0,472100.0,456400.0,433900.0,433200.0,452600.0,475800.0,452500.0,444500.0,423800.0,428600.0,418100.0,435700.0,460700.0,495100.0,479300.0,440300.0,393500.0,392800.0,378600.0,433400.0,423600.0,421400.0,391800.0,378200.0,395700.0,384400.0,431300.0,429800.0,436500.0,397600.0,414200.0,422800.0,443500.0,430400.0,430600.0,418100.0,418800.0,441000.0,448800.0,448800.0,440800.0,446700.0,497500.0,494100.0,505400.0,430700.0,437700.0,456300.0,461600.0,469300.0,459100.0,488500.0,493200.0,489900.0,493600.0,503800.0,506600.0,440400.0,432200.0,427100.0,495600.0,470700.0,511400.0,512500.0,507200.0,471800.0,473000.0,484500.0,484200.0,476800.0,467100.0,455300.0,499600.0,511200,542000,509700,514900,498200,498100,500500,494700,496700,474000,500900,508200,548200,538700,549200,551600,559200,560400,560200,512100,498700,510200,559400.0,580600.0,578300.0,587400.0,602400.0,
6,6,MA,Suffolk County,1,-71.0541,42.304691,2122,11554,50192,2122,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314800,347700,357700,346600,336300,306400,333000,354400,395800,441200,412500,420300,396600,410300,433900,408100,398500,379500,385400,406600,385000,381300,385200.0,445100.0,491400.0,519400.0,478500.0,
7,7,MA,Suffolk County,1,-71.070999,42.391490999999995,2129,12192,86346,2129,Massachusetts,408900.0,402200.0,409200.0,402100.0,409900.0,425600.0,476800.0,501700.0,491100.0,440000.0,396300.0,403700.0,407900.0,426500.0,404600.0,418800.0,423400.0,440500.0,451100.0,429700.0,431200.0,426300.0,414700.0,410700.0,383400.0,424100.0,423000.0,433200.0,453600.0,469100.0,468100.0,441700.0,445300.0,470700.0,448900.0,446900.0,434900.0,432300.0,421200.0,403500.0,427800.0,441400.0,436300.0,455500.0,500100.0,527700.0,506600.0,487800.0,472700.0,498100.0,469900.0,480400.0,462600.0,467400.0,438200.0,442200.0,444300.0,480900.0,458600.0,463000.0,453800.0,484300.0,493500.0,513200.0,513000.0,518900.0,521700.0,539000.0,565600.0,585900.0,599100.0,528600.0,534500.0,524900.0,553100.0,530400.0,528000.0,547500.0,569900.0,613800.0,630400.0,615700.0,576400.0,557200.0,541100.0,553200.0,606400.0,644300.0,656400.0,643700.0,631400.0,616600.0,592700.0,590500.0,622500.0,651500.0,682500.0,651700.0,617700,595700,619600,633100,634900,627400,625600,638800,649700,660000,622400,642900,671200,718100,710800,685800,701700,766500,768300,809000,731800,723400,613600.0,640900.0,660700.0,755900.0,748300.0,
8,8,MA,Suffolk County,1,-71.01329799999999,42.39959,2150,15907,47291,2150,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216900.0,208500.0,211900.0,212600.0,213500.0,209400.0,228800.0,228300.0,228700.0,236800.0,241100.0,241200.0,229000.0,232700.0,253600.0,227700.0,234200.0,238600.0,255000.0,256200.0,247600.0,250000.0,241000.0,261700.0,260500.0,274700.0,239400.0,261400,270600,282900,276100,282100,301600,307900,306400,317400,315800,317700,292500,284800,267300,280200,291700,300600,301400,320200,314400,341500,324500,310300.0,292000.0,287400.0,318100.0,340000.0,
9,9,MA,Suffolk County,2,-70.957298,42.347091999999996,2152,8871,64548,2152,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288200.0,301200.0,294000.0,289800.0,292300.0,331500.0,334400.0,331800.0,323500.0,330100.0,330600.0,350200.0,336200.0,334700.0,323500.0,306900.0,311000.0,285100.0,312700.0,328300.0,348500.0,334200.0,323000.0,321200.0,335900,343700,364600,379700,381300,344300,332600,334500,363100,370900,386200,399400,392900,399100,384900,373100,350500,371800,409700,407900,405300,415900,455400.0,465800.0,462100.0,465000.0,434000.0,
11,11,MA,Middlesex County,1,-71.099098,42.408993,2155,7072,73567,2155,Massachusetts,322900.0,320000.0,317600.0,325000.0,319200.0,321500.0,318500.0,319700.0,319800.0,324500.0,322200.0,316900.0,293500.0,276700.0,270600.0,289200.0,308000.0,321100.0,320000.0,319100.0,309600.0,315400.0,327400.0,319300.0,311400.0,305200.0,315600.0,327800.0,331600.0,330300.0,331000.0,315200.0,322000.0,309800.0,302900.0,306700.0,298600.0,311400.0,320900.0,338300.0,332100.0,315200.0,308600.0,318500.0,319500.0,311600.0,297600.0,298900.0,297600.0,315400.0,318500.0,334100.0,336700.0,338800.0,346200.0,336800.0,334400.0,330600.0,351000.0,338700.0,332200.0,314100.0,330600.0,331900.0,335700.0,352900.0,361800.0,366300.0,363600.0,362400.0,367000.0,372100.0,378200.0,382400.0,389100.0,396900.0,400200.0,395300.0,384300.0,389600.0,383200.0,402000.0,401400.0,407300.0,385400.0,390000.0,394700.0,420000.0,423300.0,425600.0,424900.0,434100.0,441900.0,449800.0,450300.0,459200.0,464300.0,462700.0,453200,446300,452200,464300,472800,468900,471900,470400,483900,481200,484400,500800,519600,532400,529600,527600,532900,525300,524400,537200,544300,520100,472700.0,476400.0,533900.0,582700.0,574600.0,
